SETTLEMENTDATE,actual,Naive Baseline,ARIMA,SARIMA,Holt-Winters,XGBoost,XGBoost + Temp,temp_max
2025-12-04 00:30:00,6793.293333333334,6643.266666666666,7036.0275625610975,6984.6433285052535,7076.359740942199,6729.063,6653.883,29.8
2025-12-04 01:00:00,6623.661666666667,6470.201666666667,7036.0275625610975,6984.6433285052535,7031.714185797923,6547.2153,6555.9775,29.8
2025-12-04 01:30:00,6513.655,6362.735000000001,7036.0275625610975,6984.6433285052535,7031.407625984466,6406.7163,6436.1245,29.8
2025-12-04 02:00:00,6412.248333333333,6326.009999999999,7036.0275625610975,6984.6433285052535,7022.253846271068,6360.168,6350.4365,29.8
2025-12-04 02:30:00,6381.82,6313.026666666668,7036.0275625610975,6984.6433285052535,6991.471928918192,6321.95,6315.205,29.8
2025-12-04 03:00:00,6348.558333333333,6312.695,7036.0275625610975,6984.6433285052535,6978.26392651506,6337.365,6286.024,29.8
2025-12-04 03:30:00,6377.22,6397.803333333333,7036.0275625610975,6984.6433285052535,6994.156132677468,6356.174,6330.1997,29.8
2025-12-04 04:00:00,6577.715,6572.941666666667,7036.0275625610975,6984.6433285052535,7077.161156092135,6449.29,6445.878,29.8
2025-12-04 04:30:00,6680.506666666667,6741.683333333333,7036.0275625610975,6984.6433285052535,7178.994364770486,6649.795,6592.013,29.8
2025-12-04 05:00:00,6857.548333333333,6992.566666666667,7036.0275625610975,6984.6433285052535,7323.7514138867755,6768.3794,6686.752,29.8
2025-12-04 05:30:00,7059.8550000000005,7112.126666666667,7036.0275625610975,6984.6433285052535,7439.453886272905,6895.3354,6812.125,29.8
2025-12-04 06:00:00,7092.388333333333,7034.336666666667,7036.0275625610975,6984.6433285052535,7578.438001075402,6886.6606,6810.4775,29.8
2025-12-04 06:30:00,6902.188333333333,6754.946666666667,7036.0275625610975,6984.6433285052535,7722.024174576967,6765.4478,6683.7593,29.8
2025-12-04 07:00:00,6537.185,6372.776666666666,7036.0275625610975,6984.6433285052535,7944.832375809203,6581.9434,6472.0605,29.8
2025-12-04 07:30:00,6136.013333333333,5874.136666666666,7036.0275625610975,6984.6433285052535,8166.471413499368,6098.437,6008.8213,29.8
2025-12-04 08:00:00,5695.9766666666665,5321.0616666666665,7036.0275625610975,6984.6433285052535,8275.745130168598,5886.5303,5925.2207,29.8
2025-12-04 08:30:00,5422.275000000001,4801.433333333333,7036.0275625610975,6984.6433285052535,8252.249809617353,5610.253,5615.329,29.8
2025-12-04 09:00:00,5174.803333333333,4466.766666666666,7036.0275625610975,6984.6433285052535,8115.974410747678,5356.507,5256.9453,29.8
2025-12-04 09:30:00,5196.776666666667,4359.2,7036.0275625610975,6984.6433285052535,7915.928324806089,5060.679,5016.71,29.8
2025-12-04 10:00:00,5152.7266666666665,4135.736666666667,7036.0275625610975,6984.6433285052535,7737.677145366808,4995.5093,4926.424,29.8
2025-12-04 10:30:00,5087.608333333334,4005.2883333333334,7036.0275625610975,6984.6433285052535,7562.642530112409,4925.5317,4800.028,29.8
2025-12-04 11:00:00,5139.388333333333,3828.39,7036.0275625610975,6984.6433285052535,7401.168900376201,4897.8906,4776.7744,29.8
2025-12-04 11:30:00,5239.628333333333,3757.536666666667,7036.0275625610975,6984.6433285052535,7304.927047663145,5028.4893,4814.0073,29.8
2025-12-04 12:00:00,5380.6466666666665,3730.8566666666666,7036.0275625610975,6984.6433285052535,7227.799760996348,5073.8125,5072.9062,29.8
2025-12-04 12:30:00,5559.533333333333,3773.8766666666666,7036.0275625610975,6984.6433285052535,7150.048764858593,5613.812,5533.4136,29.8
2025-12-04 13:00:00,5759.04,3879.383333333333,7036.0275625610975,6984.6433285052535,7155.764950367407,5871.755,5808.855,29.8
2025-12-04 13:30:00,6098.098333333332,4111.3116666666665,7036.0275625610975,6984.6433285052535,7198.817686623239,6138.2163,6070.9062,29.8
2025-12-04 14:00:00,6494.188333333333,4369.266666666666,7036.0275625610975,6984.6433285052535,7263.310214446108,6275.061,6266.709,29.8
2025-12-04 14:30:00,7003.830000000001,4959.1466666666665,7036.0275625610975,6984.6433285052535,7433.425879905994,6121.8145,6448.4717,29.8
2025-12-04 15:00:00,7584.218333333333,5450.731666666667,7036.0275625610975,6984.6433285052535,7640.41133133558,6145.09,6716.842,29.8
2025-12-04 15:30:00,8233.215,6110.764999999999,7036.0275625610975,6984.6433285052535,7885.019224684657,6936.217,7281.6514,29.8
2025-12-04 16:00:00,8739.269999999999,6796.791666666667,7036.0275625610975,6984.6433285052535,8126.38530228953,7489.5454,8053.7754,29.8
2025-12-04 16:30:00,9238.48,7470.0,7036.0275625610975,6984.6433285052535,8475.670910049332,8045.188,8555.382,29.8
2025-12-04 17:00:00,9657.156666666668,7963.518333333333,7036.0275625610975,6984.6433285052535,8783.361766069647,8805.899,8936.027,29.8
2025-12-04 17:30:00,9954.57,8443.0,7036.0275625610975,6984.6433285052535,9103.589454171984,9130.976,9348.441,29.8
2025-12-04 18:00:00,9916.966666666667,8601.843333333332,7036.0275625610975,6984.6433285052535,9318.26378697471,9262.692,9454.962,29.8
2025-12-04 18:30:00,9651.306666666664,8686.291666666666,7036.0275625610975,6984.6433285052535,9515.374650680664,9268.03,9408.966,29.8
2025-12-04 19:00:00,9510.056666666667,8620.67,7036.0275625610975,6984.6433285052535,9572.79701765293,9232.277,9275.347,29.8
2025-12-04 19:30:00,9390.315,8411.721666666666,7036.0275625610975,6984.6433285052535,9500.555652227025,9119.82,9248.053,29.8
2025-12-04 20:00:00,9059.643333333332,8150.291666666667,7036.0275625610975,6984.6433285052535,9317.126000415867,8959.623,9035.171,29.8
2025-12-04 20:30:00,8712.363333333333,7955.853333333333,7036.0275625610975,6984.6433285052535,9142.459349977493,8541.796,8707.501,29.8
2025-12-04 21:00:00,8534.263333333334,7837.433333333333,7036.0275625610975,6984.6433285052535,9033.01490213566,8364.354,8540.266,29.8
2025-12-04 21:30:00,8386.633333333333,7694.983333333334,7036.0275625610975,6984.6433285052535,8921.147051718253,8226.887,8252.382,29.8
2025-12-04 22:00:00,8104.826666666667,7544.099999999999,7036.0275625610975,6984.6433285052535,8730.399033340931,8012.104,8018.3535,29.8
2025-12-04 22:30:00,7858.721666666667,7409.826666666667,7036.0275625610975,6984.6433285052535,8521.930947235087,7861.846,7886.2227,29.8
2025-12-04 23:00:00,7638.215,7253.666666666667,7036.0275625610975,6984.6433285052535,8356.95139686051,7615.8267,7703.6885,29.8
2025-12-04 23:30:00,7442.971666666667,7098.420000000001,7036.0275625610975,6984.6433285052535,8227.171683491477,7417.774,7436.416,29.8
2025-12-05 00:00:00,7266.351666666667,6894.035,6890.197615668065,6561.745861246045,8076.446783266041,7095.135,7176.1465,36.2
2025-12-05 00:30:00,6991.356666666667,6653.413333333333,6890.197615668065,6561.745861246045,7929.973670101475,6936.6064,6969.266,36.2
2025-12-05 01:00:00,6791.639999999999,6570.863333333334,6890.197615668065,6561.745861246045,7828.889784897581,6748.312,6823.275,36.2
2025-12-05 01:30:00,6632.315,6440.215,6890.197615668065,6561.745861246045,7762.5308534000815,6628.927,6732.7905,36.2
2025-12-05 02:00:00,6580.256666666667,6397.176666666666,6890.197615668065,6561.745861246045,7685.347862668894,6533.358,6632.619,36.2
2025-12-05 02:30:00,6472.918333333334,6320.704999999999,6890.197615668065,6561.745861246045,7592.590936360634,6426.248,6487.471,36.2
2025-12-05 03:00:00,6464.828333333334,6351.224999999999,6890.197615668065,6561.745861246045,7540.661761590302,6415.7173,6427.671,36.2
2025-12-05 03:30:00,6456.951666666667,6393.573333333334,6890.197615668065,6561.745861246045,7511.979704605661,6446.8936,6500.5586,36.2
2025-12-05 04:00:00,6692.316666666667,6514.631666666667,6890.197615668065,6561.745861246045,7525.344337763649,6638.5386,6651.0874,36.2
2025-12-05 04:30:00,6795.756666666667,6724.323333333334,6890.197615668065,6561.745861246045,7573.078086533728,6707.295,6725.6016,36.2
2025-12-05 05:00:00,6907.071666666667,6956.821666666667,6890.197615668065,6561.745861246045,7674.6510173936595,6878.0117,6861.7817,36.2
2025-12-05 05:30:00,7024.2716666666665,7143.598333333332,6890.197615668065,6561.745861246045,7753.023069752496,7076.054,7041.5254,36.2
2025-12-05 06:00:00,7029.236666666667,7276.968333333333,6890.197615668065,6561.745861246045,7858.782674695216,7117.7134,7127.3623,36.2
2025-12-05 06:30:00,7043.513333333333,7195.206666666666,6890.197615668065,6561.745861246045,7970.09075838437,7010.956,7061.176,36.2
2025-12-05 07:00:00,6899.086666666667,7098.428333333333,6890.197615668065,6561.745861246045,8149.946833966987,6795.4463,6894.385,36.2
2025-12-05 07:30:00,6701.490000000001,6916.641666666666,6890.197615668065,6561.745861246045,8314.824744680485,6445.1826,6608.1514,36.2
2025-12-05 08:00:00,6489.671666666666,6734.349999999999,6890.197615668065,6561.745861246045,8386.135242974513,6172.0225,6590.6045,36.2
